name,hr2,hr4,hr6,hr8,hr12,hr18,Day1,Day2,Day4,Day7,sym
A_55_P1989251,0.31659266,0.091858382,-0.420532798,0.029286192,-0.021525282,0.299634804,-0.282506668,-0.089644259,0.112902642,0.85294375,000000000+
A_55_P2048656,-0.407423081,0.346744611,0.213629824,0.067164637,-0.035862373,-0.31944396,-0.024728649,-0.161248378,0.269966089,0.52851486,000000000+
A_30_P01031674,0.390402597,-0.280825323,-0.286697379,0.10602991,-0.187267263,0.142643328,-0.185829574,-0.065458011,0.030754438,0.627539411,000000000+
A_55_P2073024,0.060121676,0.061779254,-0.262605881,-0.030420041,-0.156287063,0.015673003,-0.101476318,-0.160141307,0.007125798,0.897812655,000000000+
A_52_P420466,-0.225538927,0.2095565,0.09263754,0.102018414,0.41982344,0.226766946,0.298653355,0.170255205,0.06407413,1.799215576,000000000+
A_30_P01024311,0.137054832,0.103372759,-0.018457314,0.264379913,-0.449198839,0.08614395,-0.141688938,-0.117013187,0.158096491,0.616345854,000000000+
A_55_P2166501,-0.118864165,0.211722618,0.001345868,0.305204713,0.143640831,0.040199894,-0.002009961,0.189967181,0.039665251,0.535352359,000000000+
A_52_P379474,0.358025709,0.310754981,-0.300055763,0.143459152,-0.116170907,-0.265135684,-0.153459263,-0.031581062,0.011368156,0.576050054,000000000+
A_55_P1978201,-0.015065792,0.098270232,0.02454259,-0.088689632,0.144143782,0.405078628,-0.040969586,-0.011206716,0.012425838,1.739908853,000000000+
A_55_P2114995,0.094764978,0.071161909,0.127752214,0.188722899,0.02863729,0.112023134,-0.187296591,0.108971325,0.102514757,0.71521036,000000000+
A_55_P2077033,0.345216512,-0.023354894,-0.478872808,0.030513592,-0.20948935,0.034407879,-0.232429647,0.102593094,0.168642666,0.833916059,000000000+
A_30_P01026381,-0.049443814,-0.102556862,-0.080804248,0.339044503,-0.109993524,0.105227299,-0.328117858,0.035439314,-0.017606007,0.875739448,000000000+
A_51_P305843,0.406659072,0.148770921,-0.033924375,-0.074915803,-0.043068962,-0.300331797,0.104720415,0.176831387,-0.099775355,1.076582665,000000000+
A_55_P2117043,0.337660717,-0.116662988,-0.049405423,-0.024957391,0.152842257,-0.228736532,0.334394051,0.196282084,-0.191205431,0.589659362,000000000+
A_51_P428364,0.257900185,-0.173464599,-0.35247976,-0.093096567,-0.0362454,-0.442772982,0.213901754,0.161193528,-0.16019382,0.559472845,000000000+
A_51_P384629,0.11268088,-0.166333265,-0.059592563,0.268529545,0.176109616,0.297377597,-0.125883352,0.03594948,0.080192912,0.736989831,000000000+
A_55_P2061437,-0.027449437,0.067550799,-0.263269868,-0.165521498,0.01589087,0.277366309,-0.159810734,-0.015125563,0.047222359,0.962698614,000000000+
A_51_P335900,0.151364798,-0.138043627,-0.193170608,0.105429853,0.013990379,-0.285272924,0.232464038,0.291912602,0.227907226,0.539718015,000000000+
A_51_P106859,0.283196921,-0.122711032,-0.192522787,-0.086608018,0.042528851,0.221107181,-0.1034042,-0.031742735,0.015587804,0.552525879,000000000+
A_55_P2044932,0.14592137,-0.007808848,0.040021472,-0.177514034,0.063622889,-0.479701681,0.449588255,0.344736003,-0.201223333,0.56959914,000000000+
A_52_P366772,-0.184087649,0.374888598,-0.236923935,-0.090674763,-0.335999167,0.246731417,0.025407854,-0.098198423,0.015193375,0.50869885,000000000+
A_55_P2109717,-0.230178019,0.224617245,-0.298529759,0.074586073,-0.294293076,0.114295968,0.20757435,0.451299377,0.186783928,1.314586973,000000000+
A_55_P1983177,0.098643691,-0.128651057,-0.242243793,0.134769139,-0.207775914,0.112670798,0.10306203,0.030773614,0.14520721,0.543549468,000000000+
A_55_P2004037,-0.194728865,0.051537079,0.022833808,-0.031560049,-0.04479769,-0.121276089,0.237863166,-0.399541031,-0.105308143,0.688583879,000000000+
A_66_P123617,-0.022504179,0.453887022,-0.172280545,0.276933911,-0.057234544,-0.054813929,-0.085323505,0.197878764,0.294576427,0.773221706,000000000+
A_66_P137605,0.141045375,0.345229754,0.008681093,0.056491116,0.307137167,-0.34143896,0.138877253,0.288113331,-0.273860557,0.899362169,000000000+
A_52_P24160,0.470600936,-0.089168449,-0.220535774,-0.151294374,-0.060961184,-0.289541439,0.212542075,0.183417956,-0.138305422,0.75917152,000000000+
A_55_P1984168,-0.034044707,-0.074359515,-0.393755204,0.035506209,0.061014744,0.138493463,-0.22716785,-0.034087806,0.235109707,2.363126281,000000000+
A_55_P2045407,0.383177585,0.027891548,-0.024997262,-0.082421045,-0.03391812,0.110021245,0.04175218,-0.078422361,0.165264516,0.513536343,000000000+
A_55_P2079485,0.429723142,-0.313514149,-0.151989997,-0.239910128,-0.135779352,0.19456742,-0.08262079,-0.034777594,-0.047332254,0.794436812,000000000+
A_55_P2173623,0.266568123,0.021527574,-0.1301231,-0.09895937,0.019487489,-0.042505086,0.061243634,0.05658694,-0.099314408,0.64041619,000000000+
A_65_P10865,0.344378762,0.159599635,-0.032182201,-0.209824513,-0.20835518,-0.123291286,0.169957119,0.090517045,-0.040907544,0.584944801,000000000+
A_51_P184284,0.080387057,-0.149636421,-0.405559228,-0.097854807,-0.468935943,-0.320433546,-0.063701861,0.1736909,-0.127512351,0.662358695,000000000+
A_51_P125135,-0.330461478,0.17361839,0.132441538,0.190965055,0.256451109,0.381158062,0.161441269,-0.065523489,0.090718762,1.803031273,000000000+
A_55_P2029732,-0.039421099,0.197115027,0.205321391,0.270175181,-0.368592363,-0.198653329,-0.076076719,0.259813234,0.250363444,1.162376951,000000000+
A_52_P460929,-0.056239719,0.020549872,0.09281249,0.008453373,0.017780857,-0.236275387,0.320860977,0.075832855,0.038130594,0.556567642,000000000+
A_30_P01027572,-0.023691876,0.077640787,-0.069773141,0.166418982,-0.146265775,-0.154226035,-0.107103351,-0.077328088,-0.029666147,0.620759434,000000000+
A_55_P2000090,0.350227692,-0.216167461,-0.074340219,-0.145659732,-0.143062564,-0.190658873,0.078418237,0.022402127,-0.03723049,0.689637582,000000000+
A_66_P100561,0.227512105,-0.167048235,-0.275142297,-0.144124743,-0.161506943,0.037315164,-0.075195522,0.111771899,0.079948298,0.678286282,000000000+
A_66_P115474,0.053402836,0.209240087,0.256583403,0.025373102,-0.189817155,-0.054025316,-0.021545059,0.205031799,0.114376807,1.423295591,000000000+
